"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hangszerdiszkont.hu","Valid Tests","Login Valid","0","0","4","0","0"
"Hangszerdiszkont.hu","Login","Login Valid","0","0","4","0","0"
"Hangszerdiszkont.hu","USER 1","Login Valid","0","0","3","0","0"
"Hangszerdiszkont.hu","Delete Data","Delete Data Names","0","0","2","0","0"
"Hangszerdiszkont.hu","USER 1","Delete Data Names","0","0","2","0","0"
"Hangszerdiszkont.hu","Valid Tests","Delete Data Names","0","0","2","0","0"
"Hangszerdiszkont.hu","New Data Input","New Data Input without result","0","0","1","0","0"
"Hangszerdiszkont.hu","Valid Tests","New Data Input without result","0","0","1","0","0"
"Hangszerdiszkont.hu","Logout","Logout","0","0","1","0","0"
"Hangszerdiszkont.hu","Valid Tests","Logout","0","0","1","0","0"
"Hangszerdiszkont.hu","USER 1","Logout","0","0","1","0","0"
"Hangszerdiszkont.hu","Logout","Logout Check With a Feature","0","0","1","0","0"
"Hangszerdiszkont.hu","Valid Tests","Logout Check With a Feature","0","0","1","0","0"
"Hangszerdiszkont.hu","USER 1","Logout Check With a Feature","0","0","1","0","0"
"Hangszerdiszkont.hu","New Data Input","New Data Input with result","0","0","2","0","0"
"Hangszerdiszkont.hu","Valid Tests","New Data Input with result","0","0","2","0","0"
"Hangszerdiszkont.hu","USER 3","Login Valid","0","0","1","0","0"
"Hangszerdiszkont.hu","Data Modification","Modify Existing Data","0","0","2","0","0"
"Hangszerdiszkont.hu","USER 4","Modify Existing Data","0","0","1","0","0"
"Hangszerdiszkont.hu","Valid Tests","Modify Existing Data","0","0","2","0","0"
"Hangszerdiszkont.hu","USER 3","Modify Existing Data","0","0","1","0","0"
"Hangszerdiszkont.hu","BUGS","Registration Invalid","2","0","0","0","0"
"Hangszerdiszkont.hu","Registration","Registration Invalid","2","0","0","0","0"
"Hangszerdiszkont.hu","Invalid Tests","Registration Invalid","2","0","0","0","0"
"Hangszerdiszkont.hu","USER 4","Registration Invalid","1","0","0","0","0"
"Hangszerdiszkont.hu","Valid Tests","Listing Of Data","0","0","3","0","0"
"Hangszerdiszkont.hu","Listing","Listing Of Data","0","0","3","0","0"
"Hangszerdiszkont.hu","Valid Tests","Privacy Policy Valid","0","0","6","0","0"
"Hangszerdiszkont.hu","Privacy Policy","Privacy Policy Valid","0","0","6","0","0"
"Hangszerdiszkont.hu","Valid Tests","Data Save Category","0","0","1","0","0"
"Hangszerdiszkont.hu","File Operation","Data Save Category","0","0","1","0","0"
"Hangszerdiszkont.hu","Data Save","Data Save Category","0","0","1","0","0"
"Hangszerdiszkont.hu","USER 3","Registration Valid","0","0","1","0","0"
"Hangszerdiszkont.hu","Valid Tests","Registration Valid","0","0","3","0","0"
"Hangszerdiszkont.hu","Registration","Registration Valid","0","0","3","0","0"
"Hangszerdiszkont.hu","Valid Tests","Data Save Goods","0","0","2","0","0"
"Hangszerdiszkont.hu","File Operation","Data Save Goods","0","0","2","0","0"
"Hangszerdiszkont.hu","Data Save","Data Save Goods","0","0","2","0","0"
"Hangszerdiszkont.hu","USER 1","Modify Existing Data","0","0","1","0","0"
"Hangszerdiszkont.hu","USER 2","Modify Existing Data","0","0","1","0","0"
"Hangszerdiszkont.hu","Registration","Availability Tests","0","0","1","0","0"
"Hangszerdiszkont.hu","Valid Tests","Availability Tests","0","0","1","0","0"
"Hangszerdiszkont.hu","USER 5","Registration Invalid","1","0","0","0","0"
"Hangszerdiszkont.hu","Valid Tests","Scanning a multi-page list","0","0","2","0","0"
"Hangszerdiszkont.hu","Multi-page List","Scanning a multi-page list","0","0","2","0","0"
"Hangszerdiszkont.hu","BUGS","Delete account","1","0","0","0","0"
"Hangszerdiszkont.hu","Invalid Tests","Delete account","1","0","0","0","0"
"Hangszerdiszkont.hu","USER 1","Delete account","1","0","0","0","0"
"Hangszerdiszkont.hu","Delete Data","Delete account","1","0","0","0","0"
"Hangszerdiszkont.hu","USER 2","Registration Valid","0","0","1","0","0"
"Hangszerdiszkont.hu","USER 1","Registration Valid","0","0","1","0","0"
"Hangszerdiszkont.hu","BUGS","Registration Valid","0","0","1","0","0"
